epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1684.27,0.52332,0.762,0.95036,0.9766,0.96918,0.98208,0.94096,0.32774,0.59661,0.85548,0.000479338,0.000479338,0.000479338
58,1714.28,0.4783,0.79894,0.96745,0.8987,0.96216,0.97809,0.92102,0.3693,0.77199,0.87178,0.000477397,0.000477397,0.000477397
59,1744.44,0.51471,0.68322,0.96721,0.95973,0.94171,0.9716,0.90551,0.37624,0.78442,0.87644,0.000475457,0.000475457,0.000475457
60,1773.81,0.48687,0.70461,0.97484,0.97623,0.95734,0.98742,0.93909,0.33709,0.65649,0.86517,0.000473516,0.000473516,0.000473516
61,1803.2,0.51613,0.65097,0.95532,0.98313,0.94514,0.99031,0.94515,0.31737,0.60746,0.86012,0.000471576,0.000471576,0.000471576
62,1832.61,0.47668,0.72322,0.95132,0.95672,0.94375,0.98413,0.94116,0.32163,0.68231,0.8574,0.000469636,0.000469636,0.000469636
63,1862.57,0.47009,0.66585,0.93713,0.97506,0.98194,0.98323,0.94394,0.32917,0.59506,0.85602,0.000467695,0.000467695,0.000467695
64,1893.11,0.51111,0.65293,0.96181,0.97185,0.98505,0.995,0.9467,0.31255,0.56644,0.8548,0.000465755,0.000465755,0.000465755
65,1923.9,0.4958,0.66924,0.96263,0.97337,0.99572,0.995,0.94236,0.3546,0.5606,0.86256,0.000463814,0.000463814,0.000463814
66,1954.25,0.47756,0.81418,0.89305,0.97785,0.98501,0.995,0.95212,0.33147,0.51622,0.85781,0.000461874,0.000461874,0.000461874
67,1985.3,0.53266,0.88958,0.98236,0.98036,0.98548,0.995,0.95098,0.32391,0.50974,0.8542,0.000459934,0.000459934,0.000459934
68,2016.3,0.53523,0.68478,0.99633,0.99219,1,0.995,0.94764,0.31991,0.50435,0.85618,0.000457993,0.000457993,0.000457993
69,2046.55,0.50745,0.67432,0.96269,0.99368,0.98998,0.995,0.93894,0.33904,0.48847,0.86321,0.000456053,0.000456053,0.000456053
70,2076.5,0.4754,0.59013,0.9406,0.96558,0.99055,0.995,0.95299,0.32258,0.49767,0.85828,0.000454112,0.000454112,0.000454112
71,2106.66,0.53398,0.72156,0.95185,0.97862,0.98039,0.995,0.96297,0.30255,0.49303,0.85411,0.000452172,0.000452172,0.000452172
72,2136.75,0.50774,0.62564,0.94941,0.97515,0.98004,0.995,0.95121,0.30342,0.4844,0.85459,0.000450232,0.000450232,0.000450232
73,2166.3,0.52778,0.67747,1.00027,0.96255,0.95683,0.995,0.95241,0.33772,0.53152,0.86499,0.000448291,0.000448291,0.000448291
74,2195.68,0.53299,0.58382,0.95516,0.93977,0.94363,0.98673,0.93551,0.34136,0.61526,0.86214,0.000446351,0.000446351,0.000446351
75,2226.48,0.57763,0.6803,0.99942,0.97682,0.92945,0.995,0.94349,0.34184,0.55161,0.86037,0.00044441,0.00044441,0.00044441
76,2256.62,0.50623,0.5815,0.9455,0.95301,0.987,0.99278,0.94204,0.34007,0.46883,0.86284,0.00044247,0.00044247,0.00044247
77,2286.01,0.46425,0.56315,0.94647,0.98787,0.99714,0.995,0.9528,0.3356,0.45115,0.86465,0.00044053,0.00044053,0.00044053
78,2315.32,0.4573,0.57005,0.93961,0.98651,1,0.995,0.94485,0.33774,0.41899,0.86024,0.000438589,0.000438589,0.000438589
79,2344.99,0.45014,0.5076,0.94487,0.98698,0.98848,0.995,0.95925,0.31565,0.41164,0.85351,0.000436649,0.000436649,0.000436649
80,2374.72,0.44962,0.52899,0.92378,0.99075,1,0.995,0.95371,0.33406,0.41663,0.85594,0.000434708,0.000434708,0.000434708
81,2404.47,0.48033,0.5942,0.94955,0.99182,0.9804,0.995,0.93292,0.34491,0.42731,0.85955,0.000432768,0.000432768,0.000432768
82,2433.9,0.44758,0.51236,0.91838,0.98645,0.97943,0.995,0.94534,0.34131,0.43827,0.86146,0.000430828,0.000430828,0.000430828
83,2463.82,0.45594,0.55946,0.91953,0.98968,0.99953,0.995,0.94443,0.34333,0.4306,0.85986,0.000428887,0.000428887,0.000428887
84,2493.42,0.48729,0.58277,0.95352,0.96987,0.99227,0.995,0.94945,0.33723,0.44663,0.85504,0.000426947,0.000426947,0.000426947
85,2523.29,0.49798,0.63209,0.98514,0.97032,0.98754,0.99133,0.95547,0.32374,0.41751,0.85503,0.000425006,0.000425006,0.000425006
86,2553.06,0.45145,0.54995,0.94858,0.97709,1,0.995,0.95312,0.32233,0.41697,0.8499,0.000423066,0.000423066,0.000423066
87,2583.61,0.49731,0.5404,0.94861,0.96723,0.98906,0.995,0.9575,0.31314,0.43962,0.84856,0.000421126,0.000421126,0.000421126
88,2613.15,0.44457,0.55918,0.9435,0.97801,1,0.995,0.9584,0.31056,0.39345,0.85054,0.000419185,0.000419185,0.000419185
89,2642.93,0.4161,0.49895,0.92426,0.98778,0.97704,0.995,0.95294,0.30372,0.40277,0.84812,0.000417245,0.000417245,0.000417245
90,2673.53,0.48913,0.5578,0.974,0.97297,0.96645,0.99375,0.95148,0.34203,0.46766,0.85701,0.000415304,0.000415304,0.000415304
